Major,Early Career Pay,MidCareer Pay,Percentage High Meaning
Interdisciplinary Studies (IS),50700,78000,57
Fashion Design & Marketing,55900,77900,50
Applied Sociology,47500,77800,57
Hospital Management,62300,77800,
Religion,50500,77800,56
Medical Technology,61000,77700,82
Art Administration,45600,77600,53
Criminal Justice,48600,77600,56
Fine Arts,49000,77600,45
Criminal Law,62800,77400,
Forensic Science,51300,77400,63
Philosophy & Religious Studies,55600,77300,61
Public Health (PH),52300,77300,70
SpeechLanguage Pathology,49600,77100,68
Landscape Management,58700,77000,
Women's Studies,51200,77000,60
Forensic Psychology,48300,76900,57
Modern Language Spanish,51100,76900,63
Educational Studies (ED),45300,76800,66
Physical Geography,55000,76800,58
Culture Studies,50700,76700,53
Pastoral Studies,58900,76700,
Dramatic Art,47100,76600,
Music Industry,52200,76400,38
Performing Arts,51300,76300,56
African American & African Studies,54300,76100,61
Animal Science,46800,76000,66
Ornamental Horticulture,51600,76000,67
Hospitality & Tourism,51400,75900,40
Education,50600,75800,65
Foods & Nutrition,52800,75300,68
Fashion & Retail Management,55800,75000,30
Music Composition,49400,74900,52
Small Business Management,52900,74900,36
Clinical Nutrition,58700,74800,
Painting,47400,74700,44
Speech Pathology & Audiology,51400,74600,75
Psychology & Sociology,48600,74400,53
Physical Education Teaching,48000,74400,68
Clinical Psychology,47500,74300,65
Health Studies,49500,74200,64
Instrumental Music Teacher Education,48000,74200,69
Technical Theatre,46400,74100,41
Art,49500,73900,46
Social & Criminal Justice,49900,73900,55
Consumer Affairs,57200,73800,44
Family & Consumer Science,49400,73800,61
Network Technology,63500,73700,60
Photography,49600,73600,39
Video Production,48600,73600,36
International Trade,54100,73400,44
Horticulture & Agronomy,58900,73200,
Missions,45400,73200,
General Studies,49600,73100,53
Health Services Administration,49000,73100,64
Justice Studies,51500,73000,49
Culinary Arts,44600,72800,55
Physical Therapist Assistant Studies,55100,72800,
English Teacher Education,48800,72600,56
Exercise & Sports Science,48000,72600,71
Health & Exercise Science,46900,72600,66
Recreation & Leisure Studies,47100,72600,59
Sports Administration,49700,72600,47
Graphic Arts,48000,72400,44
Supervision & Management,48000,72100,60
Secondary English Teacher Education,49800,72100,62
Exercise Science,47300,72000,72
Interior Design & Merchandising,50200,72000,41
Health & Wellness,45500,71900,69
Restaurant & Food Service Management,50100,71800,40
Behavioral Science,49800,71700,60
Culinary Arts & Food Service Management,48300,71700,48
Event Management,48200,71700,42
Theology,49600,71700,68
Wildlife Management,44500,71600,46
Health & Physical Education Teaching,44000,71500,62
Ministry,41500,71500,80
Mortuary Science,48800,71500,78
Media Production,49000,71200,35
Communicative Disorders,53300,71000,71
Health Services Management,47400,71000,87
Paralegal Studies,45200,70800,49
Social Science Teacher Education,51000,70800,
Recreation Administration,54200,70600,66
Rehabilitation Counseling,44100,70600,
Audio Production,49800,70500,45
Radio Broadcasting,51000,70500,39
Community Health,52500,70300,73
Drawing,43400,70100,37
Dance,50600,69900,59
Music Teacher Education,47700,69800,58
Gender Studies,51200,69700,55
Photojournalism,46800,69700,55
Family & Community Services,48400,69600,77
Conservation Biology,48100,69500,53
Drawing & Painting,48900,69500,45
Organizational Administration,51100,69400,
Vocal Performance,48400,69400,62
Clinical Social Work (CSW),48600,69200,
Tourism & Travel,45200,69200,38
Tourism Management,48900,69200,38
Wildlife Biology,48200,68900,58
Teaching English as a Second Language (ESL),48800,68800,67
Parks & Recreation Management,49000,68700,59
Social Services,44800,68500,78
Elementary Special Education,51200,68300,81
Ceramics,49500,68000,45
Horticulture,48400,68000,56
Landscape Design,57100,68000,62
Rehabilitation Services,41300,67600,74
Speech & Hearing,51400,67600,72
Sculpture,44700,67200,48
Health Promotion,47700,67000,71
Athletic Training,47700,66900,75
Family Studies,45000,66800,60
History Teacher Education,51800,66700,47
Social Studies Teacher Education,49200,66700,59
Biblical Studies & Practical Ministries,45400,66600,
Communication Sciences & Disorders,49900,66500,75
Emergency Medical Services (EMS),47300,66300,
Deaf Studies,43700,66100,
Community Health Education,48600,65800,70
Musical Theatre,50000,65500,46
Pastoral Ministry,43500,65200,76
Bible Studies & Theology,44800,65100,68
Biblical Studies,47000,65000,71
Christian Ministry,43000,64500,75
Human Development & Family Studies,45400,64400,63
Church Ministries,43600,64300,79
Community Development,50300,63600,69
Music Therapy,48500,63500,95
Voice & Opera,38700,63200,53
Legal Assistant Studies,42000,63000,39
Health and Human Services,48800,62900,64
Home Economics,47700,62800,69
Special Education,46400,62700,75
Conflict Resolution,52000,62100,50
Educational Psychology,45900,61800,
Developmental Psychology,42900,61800,
Youth Ministry,42800,61700,74
Therapeutic Recreation,44900,61500,83
Community & Human Services,48100,61300,79
Social Work (SW),43300,61300,76
Elementary Education,45800,60700,68
Office Administration,43400,60500,67
Christian Education,45300,60300,84
Counseling,45100,59600,79
Human Services (HS),44400,59600,70
Health & Human Performance,43000,58900,67
Mental Health Counseling,40600,58500,
Middle School Education,47200,58500,76
Child Development,42200,57900,73
Recreational Therapy,44900,57200,84
Early Childhood & Elementary Education,43400,56500,76
Outdoor Education,42200,55200,51
Baking & Pastry Arts,42400,54900,38
Mental Health,42700,52900,76
Child & Family Studies,41600,52700,73
Equine Studies,40300,52500,50
Addictions Counseling,45900,52200,78
Nonprofit Administration,42800,52100,72
Early Childhood Education,41700,50600,77
Metalsmithing,44700,44900,36
